PMC,Mg,Al,Ca,Ti,Fe,Si,image_i,image_j
333,0.321,0.0672,25.0393,0.1014,0.7478,0.0,398.9,274.68
334,0.3718,0.0225,23.2899,0.1163,1.0271,0.0,398.94,277.06
335,0.4856,0.0621,27.0504,0.0,0.2623,0.0219,398.98,279.43
336,0.3805,0.0495,27.6537,0.0,0.1222,0.0078,399.01,281.81
337,0.4814,0.023,27.7918,0.0,0.0699,0.0,399.06,284.2
338,0.5527,0.0157,24.3404,0.0218,0.4343,0.0,399.11,286.58
339,0.554,0.0556,26.7416,0.0,0.1492,0.0,399.16,288.97
340,0.563,0.0151,26.561,0.0,0.0253,0.0,399.19,291.37
341,0.7315,0.0754,23.4222,0.0,0.1582,0.0151,399.23,293.76
342,0.4465,0.0319,26.3548,0.0315,0.4202,0.027,399.27,296.17
343,0.3778,0.0,24.104,0.0129,0.3245,0.0,399.32,298.57
344,0.3795,0.0065,27.8282,0.0141,0.2504,0.0023,399.36,300.98
345,0.3099,0.0289,26.1041,0.0258,0.1299,0.0054,399.4,303.4
346,0.3085,0.024,26.6953,0.0696,0.3484,0.0,399.45,305.82
347,0.4058,0.0233,23.9696,0.0681,0.9669,0.0,399.5,308.24
348,0.3229,0.0166,25.9298,0.0,0.1973,0.0026,399.53,310.66
349,0.2332,0.0341,25.0425,0.0449,0.8084,0.0,399.57,313.09
350,0.2644,0.0,24.6944,0.0157,0.2738,0.0,399.62,315.53
351,0.4964,0.054,22.8027,0.0,0.3709,0.0,399.66,317.96
352,0.4268,0.0046,25.3115,0.0645,0.8016,0.0,399.71,320.41
353,0.2882,0.025,28.4376,0.0,0.1545,0.0068,399.75,322.85
354,0.5387,0.0032,25.4311,0.0201,0.114,0.0,399.79,325.3
355,0.2538,0.0026,21.2056,0.1307,1.2777,0.0145,399.84,327.75
356,0.3557,0.0395,22.7498,0.0893,1.0541,0.0097,399.88,330.21
357,0.5865,0.0079,25.2524,0.0701,0.5435,0.0,399.92,332.67
358,0.5343,0.0382,23.3784,0.0711,0.733,0.0176,399.97,335.13
359,0.4595,0.0715,26.6743,0.0343,0.3174,0.0,400.01,337.6
360,0.3865,0.0892,24.8933,0.0,0.3595,0.0,400.06,340.08
361,0.3223,0.0035,25.3449,0.0372,0.5309,0.007,400.1,342.55
362,0.3427,0.0262,21.9613,0.0626,0.9142,0.0,400.15,345.04
363,0.5324,0.0945,20.9578,0.1039,1.1779,0.0318,400.19,347.52
